Section Series,Last Section Series Number,Full Section Designation,Mass Per Metre (kg/m),Depth of Section [h] (mm),Width of Section [b] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r] (mm),Depth between Fillets [d] (mm)
1016 x 305,x 584,1016 x 305 x 584,584.0,1056.0,314.0,36.0,64.0,30.0,868.1
1016 x 305,x 494,1016 x 305 x 494,494.0,1036.0,309.0,31.0,54.0,30.0,868.1
1016 x 305,x 438,1016 x 305 x 438,438.0,1026.0,305.0,26.9,49.0,30.0,868.1
1016 x 305,x 415,1016 x 305 x 415,415.0,1020.0,304.0,26.0,46.0,30.0,868.1
1016 x 305,x 393,1016 x 305 x 393,392.7,1015.9,303.0,24.4,43.9,30.0,868.1
1016 x 305,x 350,1016 x 305 x 350,350.0,1008.0,302.0,21.1,40.0,30.0,868.1
1016 x 305,x 314,1016 x 305 x 314,314.3,999.9,300.0,19.1,35.9,30.0,868.1
1016 x 305,x 272,1016 x 305 x 272,272.3,990.1,300.0,16.5,31.0,30.0,868.1
1016 x 305,x 249,1016 x 305 x 249,248.7,980.1,300.0,16.5,26.0,30.0,868.1
1016 x 305,x 222,1016 x 305 x 222,222.0,970.3,300.0,16.0,21.1,30.0,868.1
914 x 419,x 388,914 x 419 x 388,388.0,921.0,420.5,21.4,36.6,24.1,799.6
914 x 419,x 343,914 x 419 x 343,343.3,911.8,418.5,19.4,32.0,24.1,799.6
914 x 305,x 576,914 x 305 x 576,576.0,993.0,322.0,36.1,65.0,19.0,824.8
914 x 305,x 521,914 x 305 x 521,521.0,981.0,319.0,33.0,58.9,19.0,824.8
914 x 305,x 474,914 x 305 x 474,474.0,971.0,316.0,30.0,54.1,19.0,824.8
914 x 305,x 425,914 x 305 x 425,425.0,961.0,313.0,26.9,49.0,19.0,824.8
914 x 305,x 381,914 x 305 x 381,381.0,951.0,310.0,24.4,43.9,19.0,824.8
914 x 305,x 345,914 x 305 x 345,345.0,943.0,308.0,22.1,39.9,19.0,824.8
914 x 305,x 313,914 x 305 x 313,313.0,932.0,309.0,21.1,34.5,19.0,824.8
914 x 305,x 289,914 x 305 x 289,289.1,926.6,307.7,19.5,32.0,19.1,824.4
914 x 305,x 271,914 x 305 x 271,271.0,923.0,307.0,18.4,30.0,19.0,824.8
914 x 305,x 253,914 x 305 x 253,253.4,918.4,305.5,17.3,27.9,19.1,824.4
914 x 305,x 238,914 x 305 x 238,238.0,915.0,305.0,16.5,25.9,19.0,824.8
914 x 305,x 224,914 x 305 x 224,224.2,910.4,304.1,15.9,23.9,19.1,824.4
914 x 305,x 201,914 x 305 x 201,200.9,903.0,303.3,15.1,20.2,19.1,824.4
838 x 292,x 226,838 x 292 x 226,226.5,850.9,293.8,16.1,26.8,17.8,761.7
838 x 292,x 194,838 x 292 x 194,193.8,840.7,292.4,14.7,21.7,17.8,761.7
838 x 292,x 176,838 x 292 x 176,175.9,834.9,291.7,14.0,18.8,17.8,761.7
762 x 267,x 197,762 x 267 x 197,196.8,769.8,268.0,15.6,25.4,16.5,686.0
762 x 267,x 173,762 x 267 x 173,173.0,762.2,266.7,14.3,21.6,16.5,686.0
762 x 267,x 147,762 x 267 x 147,146.9,754.0,265.2,12.8,17.5,16.5,686.0
