Section Designation,Mass per metre (kg/m),Depth of section h (mm),Width of section b (mm),Web thickness tw (mm),Flange thickness tf (mm),Root radius r (mm),Depth between fillets d (mm)
1016x305x584,584.0,1056.0,314.0,36.0,64.0,30.0,868.1
1016x305x494,494.0,1036.0,309.0,31.0,54.0,30.0,868.1
1016x305x438,438.0,1026.0,305.0,26.9,49.0,30.0,868.1
1016x305x415,415.0,1020.0,304.0,26.0,46.0,30.0,868.1
1016x305x393,392.7,1015.9,303.0,24.4,43.9,30.0,868.1
1016x305x350,350.0,1008.0,302.0,21.1,40.0,30.0,868.1
1016x305x314,314.3,999.9,300.0,19.1,35.9,30.0,868.1
1016x305x272,272.3,990.1,300.0,16.5,31.0,30.0,868.1
1016x305x249,248.7,980.1,300.0,16.5,26.0,30.0,868.1
1016x305x222,222.0,970.3,300.0,16.0,21.1,30.0,868.1
